,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu,FDR-adjusted p-value ,FDR-adjusted p-value 0.05,FDR-adjusted p-value 0.1
Tumor non-proliferating_intratumor_cellfrequency,320.0,1949.7117446569655,7.321591422396352e-05,0.0004526391677555564,0.0005125113995677447,True,True
CD4 T cells memory_intratumor_cellfrequency,760.5,-2.796518785673947,0.1523947605149822,0.012567454609796124,0.17779388726747927,False,False
CD4 T cells memory_stromal_cellfrequency,636.5,-19.285176217977664,0.8994360606178281,0.8897060167769131,0.8994360606178281,False,False
Myeloid M1 macrophages_intratumor_cellfrequency,412.5,17.47185517056766,0.0007367817197607201,0.0011216619156882884,0.002578736019162521,True,True
Myeloid M1 macrophages_stromal_cellfrequency,413.0,290.5769787870545,0.0015856037406232102,0.014991203846725944,0.004439690473744988,True,True
Myeloid M1 macrophages_tumorfront_cellfrequency,360.0,161.48612437343402,0.003981763011435823,0.002326238766026714,0.009290780360016921,True,True
Myeloid Monocytes_stromal_cellfrequency,526.0,161.80991076543648,0.03730384753830901,0.259854635493349,0.05802820728181401,False,True
Tumor non-proliferating_intratumor_pS6,676.0,-0.08757443178707458,0.5817471461321941,0.5517451569625414,0.6264969266039013,False,False
CD4 T cells regulatory_stromal_pS6,397.0,0.25587698167309647,0.027023988607976522,0.00873301455367892,0.04729198006395892,True,True
Tumor non-proliferating_intratumor_area,1018.0,-20.542707997975796,6.845607072361813e-06,5.4316328506748576e-06,9.583849901306539e-05,True,True
CD4 T cells memory_stromal_area,964.5,-11.023243899970574,0.00036043637924536884,8.523167133527713e-05,0.001682036436478388,True,True
CD8 T cells_intratumor_area,839.5,-14.325179819739901,0.0535162344992437,0.012802700248248278,0.06811157118085562,False,True
Vessel_tumorfront_eccentricity,817.0,-0.012200292925860445,0.011232812197645187,0.026109519610396568,0.022465624395290373,True,True
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,719.0,-0.0011206247602522782,0.04518469620377583,0.25190700485125006,0.06325857468528616,False,True
